extension,description,embedding
.txt,Plain text document,"[-0.027841607108712196, 0.1709216833114624, -0.016420969739556313, 0.0329674668610096, -0.028097741305828094, -0.007690759375691414, -0.03465820848941803, 0.05218321084976196, 0.0427749864757061, -3.104393181274645e-05, 0.014680132269859314, 0.06951220333576202, -0.004618541337549686, -0.007588730193674564, -0.051516976207494736, -0.005349857732653618, -0.020676732063293457, -0.018960347399115562, 0.020827267318964005, 0.018065139651298523, 0.024497361853718758, 0.08434323221445084, 0.05674812197685242, 0.01654854416847229, -0.00550055829808116, 0.1339745670557022, -0.05731113627552986, 0.03526940941810608, 0.04058246687054634, -0.007306803483515978, 0.01834496296942234, 0.02406856045126915, 0.11850403994321823, 0.014144130051136017, 0.037737246602773666, 0.008976713754236698, 0.03619031980633736, -0.02753691002726555, 0.023702917620539665, 0.016825923696160316, -0.026974661275744438, -0.10898903757333755, -0.07227399945259094, 0.08836337924003601, 0.08469272404909134, -0.017530392855405807, -0.023015091195702553, 0.05155616253614426, 0.009991040453314781, 0.012830987572669983, 0.010652169585227966, 0.011292800307273865, -0.03645187243819237, -0.037253573536872864, -0.0407271571457386, 0.020011013373732567, 0.0006019901484251022, -0.0008105689776130021, -0.07524248212575912, -0.036603279411792755, -0.012620380148291588, 0.0686553418636322, -0.036225538700819016, 0.015641771256923676, -0.021484486758708954, 0.09613928943872452, -0.044328078627586365, 0.09826377034187317, -0.028714070096611977, -0.05419853702187538, -0.05136752873659134, -0.052158646285533905, 0.019894564524292946, 0.030810503289103508, -0.015956584364175797, -0.02640281245112419, -0.030198071151971817, -0.07540218532085419, -0.013257843442261219, 0.05452191084623337, 0.019597578793764114, -0.01786445826292038, 0.10680865496397018, 0.08406289666891098, -0.00981088075786829, 0.020463839173316956, 0.08671581745147705, 0.0097265699878335, 0.07989141345024109, 0.028008174151182175, 0.008108521811664104, -0.03264873847365379, 0.072533018887043, -0.036353740841150284, -0.1354818195104599, 0.026902100071310997, 0.010240990668535233, -0.038682788610458374, -0.005183500703424215, 0.0876489207148552, 0.029137639328837395, -0.01279439963400364, 0.0490451455116272, -0.043715499341487885, -0.05960272625088692, -0.013171947561204433, 0.07869087904691696, -0.0425553135573864, 0.034648772329092026, -0.04812569543719292, 0.05742621049284935, -0.07902684807777405, -0.14114859700202942, -0.0758599191904068, -0.04706970229744911, -0.09455562382936478, -0.029488995671272278, -0.010127663612365723, 0.00737658841535449, 0.04480258375406265, -0.04230514541268349, -0.013478495180606842, -0.060434211045503616, 0.06398472189903259, -0.06763070076704025, -0.04274793341755867, 0.1080932691693306, -1.7215652923799886e-33, -0.015200898051261902, 0.03345624729990959, -0.01301538571715355, 0.12643015384674072, -0.036461371928453445, -0.004463167395442724, -0.040538400411605835, -0.0652259886264801, -0.06259385496377945, 0.048946868628263474, 0.004809384234249592, -0.06520755589008331, 0.034380994737148285, 0.059265460819005966, -0.003905455581843853, 0.034889452159404755, -0.020778823643922806, 0.008911781944334507, 0.05972485616803169, -0.023996826261281967, 0.02246789075434208, 0.047404076904058456, 0.049805231392383575, -0.05120142549276352, 0.009040494449436665, 0.0225415900349617, -0.012461451813578606, -0.04139087721705437, -0.057228196412324905, -0.013891302980482578, 0.006203854456543922, -0.04706808552145958, 0.07779555022716522, -0.06483007222414017, -0.03399510681629181, 0.040190476924180984, -0.059108585119247437, -0.030605869367718697, 0.039076607674360275, 0.022698193788528442, -0.04418226331472397, -0.039787907153367996, 0.1506703644990921, -0.05936956778168678, 0.03979501873254776, 0.036953359842300415, -0.059779565781354904, 0.00783675815910101, 0.021140960976481438, -0.005092302802950144, -0.050749409943819046, 0.060532137751579285, -0.005010531283915043, 0.03257102519273758, 0.01742863468825817, -0.0049407705664634705, 0.04130370542407036, 0.032625921070575714, -0.03696248680353165, 0.028146106749773026, -6.98399671819061e-05, 0.04338659718632698, -0.020352352410554886, -0.061056576669216156, 0.018373118713498116, -0.06276938319206238, -0.04085319861769676, -0.05162445083260536, 0.03665092960000038, -0.05998876690864563, -0.07559772580862045, -0.0269006434828043, 0.032503727823495865, -0.06300031393766403, -0.014805753715336323, -0.0019944263622164726, 0.015237519517540932, -0.04678494855761528, -0.01865413412451744, -0.02105117402970791, -0.007722877897322178, -0.03505513072013855, 0.05034014210104942, -0.029640167951583862, -0.00011455099593149498, 0.006359538994729519, -0.018818803131580353, -0.02993731200695038, 0.04670321196317673, 0.03994883969426155, 0.016102656722068787, 0.0147167993709445, -0.062425095587968826, -0.09232450276613235, 0.0894097164273262, 3.32891390575107e-34, 0.05077831447124481, -0.03994392231106758, -0.09956676512956619, 0.07902175933122635, 0.004027617629617453, 0.13049006462097168, 0.06374149769544601, 0.10699894279241562, 0.029363449662923813, 0.007474614307284355, 0.026462413370609283, 0.05232403799891472, -0.0026834141463041306, -0.02988772839307785, 0.08103159815073013, 0.016956370323896408, 0.00032324608764611185, 0.05521805211901665, 0.0009124576463364065, -0.013220615684986115, -0.09173053503036499, -0.08709368854761124, -0.00016507662076037377, -0.009847244247794151, 0.12380769848823547, -0.038815900683403015, -0.05141415074467659, 0.04358777403831482, -0.029137615114450455, 0.037565283477306366, -0.016157377511262894, 0.024214589968323708, -0.027560878545045853, 0.008567582815885544, 0.006432206369936466, -0.04713618755340576, 0.0763058066368103, 0.07098694890737534, -0.006924148183315992, 0.03731881454586983, 0.050068121403455734, 0.04316125810146332, -0.019263138994574547, -0.012816849164664745, -0.04237796738743782, -0.04809033125638962, -0.05245083570480347, -0.02304670959711075, 0.07081091403961182, -0.025778142735362053, 0.012892693281173706, 0.0059654987417161465, -0.005062527023255825, -0.10247279703617096, -0.020739268511533737, -0.02603309601545334, -0.10915903002023697, -0.02674015425145626, 0.006013701669871807, 0.013650598004460335, -0.012218007817864418, 0.0213767196983099, -0.04030517116189003, 0.026036223396658897, 0.02289566956460476, -0.0901314839720726, -0.03764273598790169, 0.00023944936401676387, -0.09047074615955353, -0.0015302941901609302, 0.020182665437459946, -0.09394519031047821, -0.0455133356153965, -0.03876943141222, 0.048605456948280334, 0.016096947714686394, 0.017082830891013145, -0.006425644736737013, -0.08729898929595947, -0.009010174311697483, 0.17568762600421906, 0.06347290426492691, -0.049495358020067215, 0.05321832001209259, 0.07229150831699371, -0.0220427718013525, -0.04022376239299774, -0.06743130832910538, -0.052702225744724274, -0.005617022514343262, -0.023463670164346695, 0.06969864666461945, 0.041438519954681396, 0.045518144965171814, 0.01952732913196087, -1.1938893429430664e-08, -0.041832488030195236, -0.059860847890377045, -0.007065644487738609, -0.024224048480391502, -0.008415046148002148, 0.045409899204969406, 0.03805689513683319, -0.03588130325078964, -0.024708449840545654, -0.06416945159435272, 0.02890717051923275, -0.09820150583982468, -0.07031682133674622, -0.07131476700305939, -0.012552975676953793, 0.10964517295360565, 0.013381900265812874, -0.06738995760679245, -0.002528382930904627, 0.025179794058203697, 0.028022412210702896, 0.02458435297012329, -0.08258843421936035, 0.035900600254535675, -0.03680497780442238, 0.070501908659935, -0.0056378492154181, 0.057952288538217545, 0.04903396591544151, -0.01091803889721632, 0.08411121368408203, 0.001269224681891501, 0.018095487728714943, 0.004735859110951424, 0.002344082808122039, 0.027351723983883858, 0.044241297990083694, 0.0011736047454178333, -0.017791863530874252, 0.02138465829193592, 0.02245263010263443, 0.06829291582107544, -0.0881536528468132, -0.022716781124472618, 0.044044483453035355, -0.02660750038921833, 0.07933737337589264, -0.08217097073793411, -0.003950796090066433, -0.06666650623083115, -0.021663133054971695, 0.007851753383874893, 0.0044196550734341145, 0.025763174518942833, -0.07551315426826477, -0.04961549490690231, 0.11162375658750534, 0.06354834884405136, -0.006043539382517338, 0.021443860605359077, 0.019352732226252556, 0.05868011713027954, 0.055262818932533264, -0.08232752233743668]"
.doc,Microsoft Word document,"[-0.052288927137851715, 0.05325932800769806, 0.0069475797936320305, 0.0323379747569561, 0.004906823392957449, 0.017520064488053322, -0.04521612823009491, 0.028916997835040092, 0.04040536656975746, 0.09784147143363953, 0.01329001598060131, 0.11788304150104523, 0.0108884796500206, 0.010210886597633362, -0.039080362766981125, 0.05331939086318016, -0.027795789763331413, -0.01264609768986702, -0.038434892892837524, 0.08773593604564667, 0.015576505102217197, 0.03311971202492714, 0.01617390289902687, -0.01821693778038025, 0.012631010264158249, 0.09284772723913193, -0.12722313404083252, -0.015053248032927513, 0.013084965758025646, -0.0178554505109787, -0.027705445885658264, -0.028863539919257164, 0.1120193749666214, 0.04330066964030266, 0.05990011245012283, -0.0055002812296152115, 0.03780931606888771, -0.030158797279000282, 0.02914503403007984, 0.015838028863072395, -0.06546162813901901, -0.10441047698259354, -0.05082603916525841, 0.04554833099246025, 0.07567267119884491, -0.03031272441148758, -0.05153903365135193, 0.0490482822060585, -0.00046079361345618963, 0.06951063871383667, -0.09040271490812302, -0.07759547978639603, -0.016608504578471184, -0.004353216849267483, 0.0209589172154665, 0.03453890234231949, 0.0447186604142189, 0.035710759460926056, -0.07597921788692474, -0.09362994879484177, 0.01556931622326374, 0.0681447759270668, -0.09409821033477783, 0.053796038031578064, 0.00014192750677466393, 0.07513046264648438, -0.09243984520435333, -0.0018082907190546393, -0.038077112287282944, -0.08273112028837204, -0.04400993511080742, -0.0007846440421417356, 0.07639515399932861, -0.02239992283284664, 0.026548458263278008, -0.03509758412837982, 0.013752683065831661, -0.07540412992238998, 0.031203286722302437, -0.01985127478837967, 0.039683591574430466, 0.047635458409786224, 0.07560335099697113, 0.04621262848377228, 0.05526445806026459, -0.03475330397486687, 0.06922785937786102, -0.06285347044467926, 0.025273345410823822, 0.003351095598191023, 0.006484891287982464, -0.10433553904294968, 0.07417590916156769, 0.007293430157005787, -0.08040580153465271, -0.03227376565337181, 0.029867414385080338, -0.048961665481328964, 0.09783395379781723, 0.05043184384703636, -0.004629937000572681, -0.022870812565088272, 0.04974474757909775, -0.03414040058851242, -0.0036113164387643337, -0.054610930383205414, 0.02864440158009529, -0.06519198417663574, 0.019999342039227486, -0.010874832980334759, -0.020109595730900764, -0.08263945579528809, -0.16288022696971893, -0.05102948844432831, -0.04491991549730301, -0.07473058998584747, -0.08798054605722427, -0.05331491678953171, 0.005091169849038124, -0.00882027205079794, -0.02638716995716095, 0.0023897418286651373, 0.023383289575576782, -0.035072844475507736, -0.12808223068714142, 0.007123971823602915, 0.09510964900255203, -1.0533685692955137e-33, -0.022875480353832245, -0.04692006856203079, -0.11630421131849289, 0.05018521472811699, 0.051620956510305405, -0.017597617581486702, -0.003251337446272373, -0.05988844856619835, -0.08774779736995697, -0.03476362302899361, -0.022711751982569695, -0.019819311797618866, -0.008053043857216835, 0.07626328617334366, 0.02232559211552143, -0.0031816645059734583, 0.0006292343023233116, 0.057935964316129684, -0.00011760173947550356, -0.0024467622861266136, 0.018970487639307976, 0.015296798199415207, 0.0068950895220041275, -0.002364811487495899, -0.04071854427456856, 0.10672448575496674, 0.06571268290281296, -0.03361385315656662, -0.03432001546025276, -0.007222460117191076, 0.01767057366669178, -0.03634949028491974, 0.01927117444574833, -0.06256422400474548, -0.06711766868829727, 0.04671952873468399, -0.032139431685209274, -0.004915591794997454, 0.07464532554149628, -0.04529571533203125, -0.0693383663892746, -0.018159817904233932, 0.16810686886310577, -0.06559595465660095, 0.09541832655668259, 0.04414186254143715, 0.034380052238702774, 0.01753116585314274, 0.06050363555550575, -0.00013369775842875242, 0.04649630934000015, 0.01693030633032322, -0.06015961989760399, 0.06157861649990082, 0.055302463471889496, -0.008167650550603867, 0.011998683214187622, 0.07008976489305496, 0.025590289384126663, 0.0065636299550533295, 0.025652417913079262, 0.03751617297530174, 0.0464421808719635, -0.0024510284420102835, -0.006814034655690193, -0.07523402571678162, 0.012736777774989605, 0.003055882640182972, 0.06395180523395538, -0.047159984707832336, -0.029314273968338966, -0.05427568405866623, -0.005195487756282091, -0.05471981689333916, 0.01528906263411045, -0.008658511564135551, 0.05016830563545227, -0.05809387192130089, -0.11252152919769287, -0.042919401079416275, -0.09801977872848511, -0.05332981050014496, 0.0251278318464756, -0.050385843962430954, -0.080727718770504, 0.018901647999882698, 0.008816070854663849, -0.026405850425362587, 0.03849821537733078, 0.0022987148258835077, 0.01186111755669117, 0.04231981933116913, -0.06328441202640533, -0.02361576445400715, 0.05709981918334961, 3.0393487803477504e-34, -0.003913113381713629, -0.10162150114774704, -0.07306981086730957, 0.04176260903477669, -0.03700881451368332, 0.09754418581724167, 0.06105087697505951, 0.0627802386879921, 0.002934494987130165, 0.05806857347488403, 0.03836027905344963, 0.035352692008018494, 0.04424723610281944, 0.0064989300444722176, -0.006542648188769817, -0.02104099839925766, 0.032440684735774994, 0.03300955146551132, 0.02337181568145752, 0.045388124883174896, -0.06770272552967072, -0.08616899698972702, 0.008770031854510307, 0.02456963248550892, 0.0852346196770668, 0.005852298345416784, -0.03181489184498787, -0.053641654551029205, -0.015377293340861797, 0.014587539248168468, 0.009538751095533371, -0.00611446937546134, -0.05850903317332268, 0.056385159492492676, 0.05936469882726669, -0.036373306065797806, 0.025200476869940758, -0.01862180046737194, 0.01173927541822195, 0.03267277404665947, 0.023492779582738876, 0.019273867830634117, -0.007802821695804596, 0.025800500065088272, -0.0391075573861599, 0.030128957703709602, -0.031223710626363754, -0.046037670224905014, 0.011222681030631065, 0.03935479745268822, 0.015614609234035015, 0.0025930777192115784, 0.020182983949780464, -0.0831121876835823, -0.07222156226634979, 0.029917942360043526, -0.027719460427761078, -0.07088159024715424, 0.00560919102281332, 0.04039957746863365, 0.012689612805843353, 0.053667452186346054, 0.011534702964127064, 0.04265730828046799, 0.03894992172718048, -0.0009508344228379428, -0.05282482132315636, -0.007902328856289387, -0.08356241881847382, 0.05786268785595894, -0.07110476493835449, 0.049018293619155884, 0.019961193203926086, -0.04599318653345108, 0.050434283912181854, -0.012627745047211647, -0.022335154935717583, -0.011104641482234001, -0.038740966469049454, -0.07280603051185608, 0.1341457962989807, 0.07175292819738388, 0.02633419819176197, -0.01651589944958687, -0.0020994076039642096, -0.01750822737812996, -0.0012292190222069621, -0.014987633563578129, -0.07487921416759491, 0.004215850494801998, -0.017002766951918602, 0.017178324982523918, 0.05278133228421211, 0.01219816692173481, -0.018530962988734245, -1.230433266385944e-08, -0.06901712715625763, -0.0036207889206707478, 0.05322900041937828, -0.04746164381504059, -0.007654248736798763, 0.010096252895891666, 0.05237545818090439, 0.01968717947602272, -0.006864593364298344, -0.04290175810456276, 0.11542588472366333, -0.11007300019264221, -0.08635841310024261, -0.021014859899878502, -0.007574440911412239, -0.03927147015929222, 0.033768653869628906, -0.05408622696995735, 0.011704973876476288, -0.03182206302881241, 0.0484311580657959, 0.017093628644943237, -0.013031224720180035, 0.025166450068354607, 0.02437000162899494, 0.04169948771595955, -0.03509245067834854, 0.048198796808719635, 0.020889542996883392, -0.09698216617107391, 0.04264166206121445, 0.08545665442943573, -0.0017093714559450746, 0.058280330151319504, 0.028722766786813736, 0.08443263918161392, 0.04033416509628296, 0.0911392793059349, -0.04716847836971283, 0.003284195903688669, 0.011304263025522232, 0.059404436498880386, -0.058724064379930496, -0.038822587579488754, 0.10155704617500305, 0.00751469237729907, 0.013598174788057804, -0.07682139426469803, -0.008663859218358994, -0.0669240653514862, -0.024567319080233574, 0.004431827459484339, 0.13063812255859375, 0.039250656962394714, -0.09114512801170349, 0.012514748610556126, 0.10759924352169037, 0.03602077439427376, 0.017004840075969696, -0.0269466619938612, 0.010182310827076435, 0.0337650440633297, 0.060349736362695694, 0.017208855599164963]"
.docx,Microsoft Word document (XML-based),"[-0.061252038925886154, 0.03467882424592972, 0.02248552441596985, 0.034751079976558685, -0.01475418359041214, 0.01614140160381794, -0.04318024590611458, 0.003957963082939386, 0.0033203361090272665, 0.050949666649103165, 0.05412738770246506, 0.052859172224998474, 0.08842605352401733, -0.013885165564715862, 0.005626598838716745, 0.07249347865581512, 0.025795524939894676, 0.01308442186564207, -0.008258131332695484, 0.08569905906915665, 0.04232534021139145, 0.06855002045631409, -0.0016909627011045814, -0.0430280826985836, -0.005285393446683884, 0.1580866426229477, -0.006348473019897938, -0.021806815639138222, 0.0009374839719384909, 0.03999078646302223, 0.012247435748577118, -0.020115762948989868, 0.08774180710315704, 0.05853563919663429, 0.04028584063053131, 0.005197035614401102, 0.03670549392700195, -0.03973672538995743, -0.011174879968166351, 0.03285359591245651, -0.0842171236872673, -0.03774957358837128, -0.009384057484567165, 0.04189546778798103, 0.011470329947769642, -0.06375718116760254, -0.02766382321715355, 0.007045772857964039, -0.06454519927501678, 0.08441732078790665, -0.08158634603023529, -0.13023540377616882, 0.02365381084382534, 0.012282460927963257, -0.030130645260214806, 0.06993504613637924, 0.0011131699429824948, -0.007822821848094463, -0.12400787323713303, -0.10686492174863815, -0.04779825359582901, 0.07219026982784271, -0.04016996547579765, 0.04540695250034332, -0.008309990167617798, 0.1108434647321701, -0.1463613659143448, -0.008057866245508194, 0.019961383193731308, -0.10569889843463898, -0.06739944219589233, -0.00772246066480875, 0.0913064107298851, 0.008222762495279312, -0.010733234696090221, -0.026303725317120552, 0.014447171241044998, -0.09358542412519455, 0.009692941792309284, -0.09438405185937881, 0.03290253132581711, 0.06976469606161118, 0.01374665554612875, 0.031030843034386635, 0.01589682139456272, 0.022509843111038208, 0.11792061477899551, -0.00914553739130497, -0.02067185565829277, 0.017681466415524483, -0.007299242541193962, -0.05853033438324928, 0.060659632086753845, -0.03393671661615372, -0.023188846185803413, 0.017553133890032768, 0.0523475781083107, -0.05949108302593231, 0.07975142449140549, -0.028708795085549355, 0.03779064491391182, 0.01741180755198002, -0.01054163184016943, -0.04077773541212082, 0.0012105206260457635, -0.048154886811971664, 0.00046181902871467173, -0.054769910871982574, -0.00421381089836359, -0.018340788781642914, -0.013411914929747581, -0.06953363120555878, -0.11989068984985352, -0.07881920039653778, -0.051839884370565414, -0.04202483221888542, -0.010906216688454151, -0.06250803917646408, -0.006759472656995058, -0.01820489391684532, 0.013149520382285118, 0.0007051677675917745, 0.02880830504000187, 0.001553826150484383, -0.004800047725439072, 0.05268826335668564, 0.03750711306929588, -2.8005776382806752e-33, -0.0339130163192749, -0.04672994092106819, -0.09027545899152756, 0.08879687637090683, 0.06411448866128922, -0.03755054995417595, -0.0054539102129638195, -0.09427521377801895, -0.05864085257053375, -0.03833790123462677, -0.01210703980177641, -0.015499712899327278, -0.060806915163993835, -0.02301325462758541, 0.09047780930995941, 0.04563770070672035, -0.029805677011609077, 0.09562896937131882, 0.03898892551660538, 0.0263728778809309, 0.02428138256072998, 0.016035258769989014, 0.057705022394657135, -0.05971837043762207, -0.06957961618900299, 0.059514839202165604, 0.043771892786026, -0.04532304406166077, -0.011290302500128746, -0.04924038052558899, 0.062097206711769104, -0.006425883155316114, 0.052514415234327316, 0.0014448021538555622, -0.07754556089639664, 0.05793597176671028, -0.057791490107774734, -0.012439435347914696, 0.06157958135008812, 0.00501983193680644, -0.09676701575517654, 0.01226918026804924, 0.18574996292591095, -0.06844978034496307, 0.0982784852385521, 0.024224165827035904, -0.022519541904330254, -0.004033540841192007, 0.0639520213007927, -0.07859189808368683, 0.08655430376529694, 0.01284302119165659, -0.009279895573854446, 0.05927901715040207, 0.06423681974411011, -0.03842010349035263, 0.0007150817546062171, 0.05118905007839203, -0.011908844113349915, 0.01381764281541109, -0.011099833063781261, 0.02233874425292015, 0.03150051087141037, 0.008549632504582405, -0.01563110761344433, -0.0517314150929451, 0.06757856905460358, -0.022291354835033417, 0.026110081002116203, -0.01946578547358513, 0.024635806679725647, -0.028857896104454994, -0.00681022135540843, -0.04757208377122879, 0.010754171758890152, -0.035413891077041626, 0.028725283220410347, -0.10445763170719147, -0.0942499041557312, 0.0024296818301081657, -0.04181212931871414, -0.04476857930421829, 0.030868373811244965, -0.014251336455345154, 0.010335506871342659, -0.00016632523329462856, -0.004067008849233389, -0.032125819474458694, 0.035843562334775925, -0.045842740684747696, 0.05859987810254097, 0.01876283623278141, -0.0856347307562828, -0.051517095416784286, 0.09838201850652695, 1.568481765098356e-33, -0.05083237960934639, -0.1212925910949707, -0.01204394455999136, 0.012173960916697979, -0.004805376753211021, 0.03693355247378349, -0.00013494474114850163, 0.043167926371097565, -0.0006289816810749471, 0.07315975427627563, 0.003155697602778673, 0.020204268395900726, -0.037872012704610825, -0.005423448048532009, -0.045347701758146286, -0.037375494837760925, 0.032191429287195206, 0.02340693585574627, 0.00972482468932867, 0.02780243754386902, -0.04010173678398132, -0.025861522182822227, -0.0025122296065092087, 0.03924480080604553, 0.06831662356853485, 0.013615855015814304, -0.04090476036071777, 0.015706676989793777, -0.017510663717985153, -0.0471368245780468, 0.03647540509700775, 0.004127887077629566, 0.004911818541586399, 0.0044320556335151196, 0.02184409461915493, -0.04806536063551903, -0.017867792397737503, 0.024772871285676956, 0.03850974142551422, 0.0369512103497982, -0.015009068883955479, -0.0492105558514595, -0.015113193541765213, -0.04526781290769577, -0.018270917236804962, -0.03779854252934456, -0.05207210034132004, 0.020832721143960953, -0.010637681931257248, 0.04790205880999565, -0.01986914500594139, -0.007566084619611502, -0.011633283458650112, -0.05100949853658676, -0.01602237857878208, -0.012779893353581429, -0.0313173271715641, -0.05956202745437622, -0.014038157649338245, -0.022137796506285667, 0.009142010472714901, 0.03154653310775757, 0.06142695993185043, 0.14274992048740387, 0.022234123200178146, -0.019262708723545074, -0.05068594589829445, -0.04778846725821495, -0.10099589824676514, 0.039824776351451874, -0.046758148819208145, 0.06062530353665352, -0.005284118931740522, -0.024862367659807205, 0.10964411497116089, 0.015455788932740688, 0.0005056185182183981, -0.006414866540580988, 0.0027298245113343, -0.05788566544651985, 0.006043568253517151, 0.0844932422041893, 0.03598812595009804, 0.04042618349194527, 0.014261247590184212, -0.008757258765399456, -0.04073528200387955, -0.005052987951785326, -0.0037500550970435143, -0.0044744801707565784, -0.02829650603234768, 0.01058559212833643, 0.06905268132686615, -0.01900920271873474, -0.05569382756948471, -1.4072472964699045e-08, -0.12179693579673767, -0.013575340621173382, -0.025021051988005638, -0.022910725325345993, -0.05686604231595993, 0.04781036451458931, 0.02033926360309124, 0.024140145629644394, 0.019240044057369232, -0.013659394346177578, 0.11565059423446655, -0.07257755100727081, -0.09904246777296066, -0.02023313194513321, -0.024168342351913452, -0.02305596135556698, 0.036439791321754456, -0.057054974138736725, 0.01139549259096384, -0.03626261651515961, 0.0015293678734451532, 0.05705932155251503, -0.012574788182973862, 0.09089422971010208, 0.03662391006946564, 0.014799241907894611, -0.07826865464448929, 0.03413736820220947, 0.04089333862066269, -0.08511374890804291, 0.0358087457716465, 0.028910692781209946, 0.0032734882552176714, 0.09121304750442505, 0.004190942272543907, 0.042972855269908905, 0.08862734586000443, 0.09595602005720139, -0.07687626034021378, -0.02050391212105751, 0.04778432846069336, 0.003327822545543313, -0.07199224084615707, -0.005684862844645977, 0.1411864012479782, 0.008927023969590664, -0.021780630573630333, -0.06210009753704071, 0.07033661007881165, -0.03677232936024666, -0.06160672381520271, -0.029947495087981224, 0.08839119225740433, -0.020971495658159256, -0.04028843343257904, 0.0030778469517827034, 0.0632973462343216, 0.0741778165102005, 0.07889202982187271, -0.0017972685163840652, -0.037265218794345856, 0.0032393804285675287, 0.1015065610408783, 0.06680433452129364]"
