command,description,embedding
copy,Copy one or more files from source to destination,"[-0.028077667579054832, -0.03248901665210724, -0.02880779467523098, 0.001282974029891193, 0.07108291238546371, -0.01536532025784254, 0.07871413975954056, 0.0030273576267063618, -0.027960745617747307, 0.008299549110233784, 0.04093129560351372, -0.020629217848181725, 0.043679866939783096, -0.04904932156205177, 0.0008087185560725629, -0.010681490413844585, -0.08317507803440094, 0.058103784918785095, -0.014927301555871964, -0.02765391767024994, 0.032689642161130905, 0.004065412562340498, -0.01680596172809601, -0.01614181324839592, 0.028566835448145866, 0.02197389304637909, -0.03501877933740616, -0.14929160475730896, -0.030100567266345024, -0.02502305805683136, -0.01707606203854084, 0.03318529203534126, -0.07346107810735703, -0.0162338949739933, 0.039225418120622635, 0.0567258819937706, 0.012972256168723106, 0.0408339649438858, -0.01205789390951395, 0.028759624809026718, 0.0017430185107514262, 0.03342796117067337, 0.005133833736181259, -0.03879760950803757, -0.046597715467214584, -0.058116018772125244, -0.034035321325063705, 0.03706759214401245, 0.09928596019744873, -0.017783187329769135, -0.05405545234680176, -0.07554975152015686, -0.08208589255809784, -0.0010135590564459562, 0.04248905926942825, -0.0440007783472538, -0.011074517853558064, -0.016426939517259598, -0.004679756239056587, -0.010725287720561028, 0.014129451476037502, 0.020422983914613724, -0.06687930971384048, 0.011369320563971996, 0.10601576417684555, -0.010199865326285362, -0.06555406004190445, 0.08615770190954208, -0.06857527792453766, 0.06780841946601868, -0.0688813328742981, 0.008271949365735054, -0.040458984673023224, 0.07448510080575943, 0.13309010863304138, -0.0538104884326458, 0.014591556042432785, 0.07829572260379791, -0.030768295750021935, -0.10590455681085587, -0.010662592947483063, -0.10280033200979233, -0.0014769568806514144, -0.04973043128848076, -0.029307177290320396, 0.014065452851355076, 0.020138954743742943, 0.089638851583004, 0.010967658832669258, -0.026882385835051537, 0.010673115961253643, 0.024773601442575455, 0.05765162408351898, -0.0043668560683727264, 0.030322063714265823, 0.03867481276392937, -0.0472990907728672, 0.0660809651017189, 0.14979811012744904, -0.00967322662472725, -0.01615937240421772, 0.022358208894729614, 0.07993374764919281, -0.010819698683917522, 0.013708282262086868, 0.0007640168769285083, 0.05887101590633392, -0.02531164512038231, 0.027762772515416145, 0.004623945336788893, 0.0019197057699784636, -0.006944630760699511, 0.015120234340429306, -0.09437565505504608, 0.04562525823712349, -0.04920120909810066, -0.07759567350149155, 0.016139348968863487, -0.0745122954249382, 0.031364861875772476, 0.02422075718641281, -0.028723619878292084, 0.03775045648217201, 0.05411256477236748, -0.032485879957675934, -0.10751330107450485, -0.010070989839732647, -2.91700874660844e-34, 0.036656685173511505, 0.02450527809560299, -0.004884887021034956, 0.07265180349349976, 0.04615592956542969, -0.02445307746529579, 0.0760175883769989, 0.03410966694355011, -0.062152110040187836, -0.026137404143810272, -0.02447308599948883, -0.05016849935054779, -0.022257814183831215, 0.026336131617426872, -0.0999099388718605, -0.03075854480266571, -0.009689881466329098, 0.0563129298388958, 0.019864479079842567, -0.021330179646611214, 0.04815760254859924, -0.04008326679468155, 0.003191483672708273, 0.015215770341455936, 0.0027626235969364643, -0.07342756539583206, 0.004715339280664921, 0.021376939490437508, -0.002131950343027711, -0.0315055325627327, 0.07756233215332031, -0.0359911248087883, -0.006996368523687124, 0.016330283135175705, -0.009999267756938934, 0.061125170439481735, -0.00010216365626547486, 0.0387900210916996, 0.036332402378320694, 0.0042675514705479145, -0.001309199258685112, -0.03894474357366562, -0.04490033537149429, 0.06093062460422516, 0.03746727481484413, -0.01065138727426529, -0.05048435926437378, -0.029422247782349586, -0.07290664315223694, 0.01453876681625843, -0.0016565558034926653, -0.0011793856974691153, -0.018407290801405907, -0.03182204067707062, -0.008301673457026482, -0.004634879529476166, -0.04756239801645279, 0.0010025048395618796, 0.021016879007220268, 0.03805181011557579, 0.033799488097429276, 0.020094729959964752, -0.008864662609994411, 0.006856911815702915, 0.14686429500579834, 0.05883437395095825, 0.008759814314544201, -0.0007623881683684886, 0.05744140222668648, 0.023902127519249916, -0.026389185339212418, -0.025858750566840172, -0.07076085358858109, -0.07575845718383789, 0.05844619870185852, -0.023985257372260094, -0.0559709332883358, -0.037728503346443176, -0.05107329040765762, -0.008089903742074966, -0.16634821891784668, 0.09180162847042084, -0.03899741917848587, -0.1205800324678421, 0.054326824843883514, 0.0794091671705246, -0.057805486023426056, -0.03615899384021759, -0.012747308239340782, -0.04085133969783783, 0.009655204601585865, -0.03545141592621803, -0.059749018400907516, -0.1247917041182518, 0.06561724096536636, -3.932051562374591e-34, 0.05997388809919357, 0.008839654736220837, 0.1032027080655098, 0.03019793890416622, 0.011560683138668537, 0.029103178530931473, -0.02072555013000965, -0.037112485617399216, 0.01905510202050209, 0.11721309274435043, -0.09648915380239487, -0.04261704906821251, 0.06512458622455597, -0.14444933831691742, -0.024548785760998726, -0.07724860310554504, 0.08544205129146576, -0.013914269395172596, -0.07460479438304901, -0.022125525400042534, -0.04181816801428795, -0.008383779786527157, 0.050658345222473145, 0.056307677179574966, -0.049148090183734894, 0.05583188310265541, -0.05396273732185364, 0.0366457998752594, 0.022143585607409477, 0.024280283600091934, 0.031447816640138626, 0.018951453268527985, -0.03207630664110184, -0.006269516423344612, -0.003937282133847475, 0.08187798410654068, 0.0019370261579751968, 0.17579618096351624, 0.022172583267092705, 0.08938436955213547, -0.05274129658937454, -0.014651503413915634, 0.05358869582414627, -0.05398770421743393, -0.007847326807677746, -0.08737444877624512, 0.02557038515806198, 0.05369079113006592, -0.054077837616205215, 0.04346855729818344, 0.012808239087462425, -0.04261133074760437, -0.10189967602491379, -0.019317250698804855, 0.044108469039201736, 0.05149736627936363, 0.03556423261761665, 0.033015184104442596, 0.07078371196985245, -0.06922197341918945, -0.01618613675236702, -0.010696439072489738, 0.009889449924230576, -0.0646568015217781, -0.005486810579895973, -0.00945247896015644, 0.016620509326457977, 0.01896989531815052, -0.0055086612701416016, 0.0240351352840662, 0.025621797889471054, 0.07020235061645508, 0.038447216153144836, 0.0348920039832592, -0.02097754366695881, -0.024745183065533638, 0.04956500604748726, 0.04125117510557175, -0.021164478734135628, 0.02093197964131832, -0.012323849834501743, 0.014997494406998158, 0.052254289388656616, 0.050904545933008194, 0.03463433310389519, 0.03617385774850845, 0.03953325375914574, -0.016066497191786766, 0.06691935658454895, -0.013538464903831482, -0.04147518798708916, 0.032546691596508026, 0.16385206580162048, -0.06083161383867264, 0.013196383602917194, -1.6636153787885632e-08, -0.023640507832169533, 0.02805246226489544, -0.007141502108424902, 0.00540679506957531, -0.02261234074831009, 0.041820697486400604, -0.1159941703081131, 0.0010486484970897436, -0.02326355315744877, -0.014096470549702644, -0.010325035080313683, 0.02534712851047516, 0.060654379427433014, -0.0007005351944826543, -0.05591544881463051, -0.06846193224191666, 0.12367938458919525, -0.09457793831825256, -0.004133413080126047, -0.030813492834568024, 0.054110657423734665, -0.03418748825788498, 0.06319377571344376, 0.04774941876530647, 0.07295598834753036, -0.03612470626831055, 0.0019175446359440684, 0.054930347949266434, 0.029991155490279198, -0.08163768798112869, 0.029103456065058708, 0.00226456462405622, -0.07036798447370529, -0.04714939743280411, 0.11194992810487747, -0.10840192437171936, 0.07813209295272827, -0.01746276579797268, -0.04686933383345604, -0.03641795739531517, -0.014230423606932163, -0.03887505084276199, -0.012980341911315918, 0.02675272338092327, 0.006092400755733252, -0.04950646683573723, -0.07483450323343277, -0.03551673889160156, -0.02597806416451931, -0.00029235894908197224, -0.015261312015354633, -0.009837513789534569, 0.06544475257396698, 0.10506559163331985, -0.008886662311851978, -0.03379317745566368, -0.0002508565376047045, -0.0179947167634964, 0.060517556965351105, 0.005857030861079693, 0.006025251466780901, 0.049736641347408295, 0.035571884363889694, -0.0441141240298748]"
move,Move or rename files from source to destination,"[-0.04361854866147041, -0.010190319269895554, -0.03149918466806412, 0.004141768906265497, 0.04750116169452667, 0.007453307043761015, 0.10576183348894119, -0.0003308772575110197, 0.0189726073294878, 0.04439128190279007, 0.05005180835723877, 0.008337779901921749, 0.03141753003001213, 0.016794493421912193, -0.04378499090671539, -0.019979272037744522, -0.05268258601427078, 0.0873730331659317, 0.0297971460968256, 0.03447491675615311, 0.01265903189778328, 0.03174406662583351, -0.026394706219434738, -0.009973596781492233, 0.1427253931760788, 0.032178446650505066, -0.03002862259745598, -0.060531020164489746, -0.052674807608127594, -0.061399780213832855, -0.00010524463141337037, 0.05542074516415596, -0.08023148030042648, -0.03817479684948921, 0.014628097414970398, 0.08799799531698227, 0.0036726086400449276, -0.028763726353645325, -0.0499611496925354, -0.019447576254606247, 0.022774100303649902, -0.0034140506759285927, 0.012522338889539242, -0.08472149074077606, -0.05696048215031624, -0.03926640376448631, 0.06474955379962921, 0.013815185986459255, 0.03143986314535141, -0.014404083602130413, -0.09688103944063187, -0.08270208537578583, -0.10201571136713028, 0.04808003082871437, -0.01763528399169445, 0.0042427536100149155, 0.03611885383725166, -0.0014049002202227712, 0.006447823718190193, -0.007379475515335798, 0.042647119611501694, 0.014128542505204678, -0.023242853581905365, -0.006507648155093193, 0.00821394007652998, -0.02654525265097618, 0.029114052653312683, 0.045721374452114105, 0.00627918029204011, 0.007809878792613745, -0.04368632286787033, 0.04957851767539978, -0.010248270817101002, 0.03585174307227135, 0.10306243598461151, -0.0460270531475544, -0.015372374095022678, 0.0970209389925003, 0.0010635462822392583, -0.11502907425165176, 0.06754425168037415, -0.0899156928062439, 0.0023516120854765177, -0.05869434401392937, -0.03325975313782692, 0.035587094724178314, -0.025541456416249275, 0.0764407142996788, 0.012813416309654713, -0.06768429279327393, -0.025915442034602165, -0.03517525643110275, 0.07727518677711487, -0.01975986361503601, 0.046824146062135696, -0.005955584347248077, -0.036249998956918716, 0.08477356284856796, 0.1381811797618866, 0.023571213707327843, -0.030799034982919693, 0.05361825227737427, -0.049492571502923965, -0.06077500805258751, 0.03549971804022789, 0.06341209262609482, 0.06405813246965408, 0.004595713224261999, 0.0274066012352705, 0.014979960396885872, -0.019272558391094208, 0.004174970090389252, -0.01464772317558527, -0.06033351272344589, 0.008151554502546787, -0.08249828219413757, -0.10508296638727188, -0.007065217010676861, -0.08956271409988403, -0.01895025372505188, 0.018243107944726944, -0.00887285452336073, 0.020477157086133957, 0.068538598716259, -0.08995543420314789, -0.010813085362315178, -0.06196246296167374, 3.399849020515945e-34, -0.006900620646774769, 0.02152632363140583, -0.008385111577808857, 0.06901170313358307, 0.06755153834819794, -0.07420238107442856, 0.03363162279129028, 0.036272455006837845, -0.021941261366009712, -0.0011314013972878456, -0.0032001568470150232, -0.04199660196900368, 0.007366861216723919, -0.03712259978055954, -0.07841843366622925, -0.1064366027712822, -0.008862875401973724, 0.0464988648891449, 0.02858734130859375, -0.05634928122162819, 0.05109311640262604, 0.04075288772583008, -0.02088705077767372, 0.03254345431923866, -1.7828911950346082e-05, -0.05251891911029816, -0.03772152587771416, -0.05393649637699127, 0.05667823925614357, -0.048156656324863434, 0.018493881449103355, -0.05380665510892868, 0.008976233191788197, 0.012557425536215305, -0.005567914340645075, 0.01015210710465908, 0.009091561660170555, 0.009042342193424702, 0.04061995446681976, 0.01975315995514393, 0.027076346799731255, -0.05668440833687782, -0.13137683272361755, 0.09386865794658661, 0.06439844518899918, 0.035539660602808, 0.01999797113239765, -0.01465893816202879, -0.022934632375836372, -0.0445866584777832, 0.012823794037103653, 0.003522316925227642, 0.011141178198158741, -0.001775437267497182, -0.014559941366314888, 0.028463833034038544, -0.034395769238471985, 0.018388302996754646, -0.008321463130414486, -0.00885054748505354, 0.018417757004499435, 0.03258620947599411, 0.00842800922691822, 0.019682712852954865, 0.12784653902053833, 0.009585092775523663, 0.022370439022779465, 0.01884305290877819, 0.003629380604252219, 0.011153992265462875, -0.022431036457419395, -0.05646951496601105, -0.00649529742076993, 0.020470118150115013, 0.11767993867397308, -0.03521379828453064, -0.08665597438812256, -0.019464056938886642, -0.06855130940675735, -0.021403372287750244, -0.09304141253232956, 0.09938736259937286, -0.014988275244832039, -0.07167550176382065, 0.049054794013500214, 0.040955252945423126, -0.04579402506351471, -0.0974850282073021, -0.0338478609919548, -0.04153632000088692, 0.05317515879869461, 0.02989046648144722, -0.04139872267842293, -0.04963336139917374, 0.08902536332607269, -6.29650472528837e-34, 0.024730049073696136, 0.026125645264983177, 0.07372521609067917, 0.05320354551076889, -0.0003085848584305495, -0.022047443315386772, -0.027869414538145065, -0.012472090311348438, 0.060722716152668, 0.04426262527704239, -0.13332635164260864, -0.053997740149497986, -0.0004630460462067276, -0.15227247774600983, -0.0037594863679260015, -0.09794174879789352, 0.06162024661898613, -0.057516779750585556, -0.1683831810951233, -0.006337003782391548, -0.03033212572336197, 0.08059310168027878, -0.017739312723279, -0.010345496237277985, -0.02300778590142727, 0.04976963996887207, 0.01719711162149906, 0.0192760918289423, 0.024415936321020126, 0.04183853790163994, -0.07114379107952118, 0.003927832469344139, -0.04878394678235054, -0.01348352525383234, 0.016949892044067383, 0.07086212188005447, -0.010991575196385384, 0.09219624102115631, -0.002725163707509637, 0.06901801377534866, -0.08597013354301453, 0.04835838824510574, 0.0448572039604187, -0.03509646654129028, -0.011715589091181755, -0.029667336493730545, 0.018364854156970978, 0.031006349250674248, -0.02300620637834072, 0.017658628523349762, 0.01723400503396988, -0.018514016643166542, -0.1078178808093071, -0.07478681951761246, 0.0894918143749237, 0.062150243669748306, 0.029825488105416298, -0.023583076894283295, 0.0013867039233446121, -0.04927418380975723, 0.04642853885889053, -0.01474830787628889, 0.041272640228271484, -0.061935074627399445, -0.03011496551334858, 0.0674765557050705, -0.04794696345925331, -0.027358274906873703, 0.02771836519241333, -0.037597574293613434, 0.09338158369064331, 0.03560061752796173, -0.003794323652982712, 0.04020397365093231, 0.022928055375814438, -0.046685706824064255, 0.1146085113286972, 0.08056653290987015, -0.04896547272801399, -0.007080200593918562, 0.016869155690073967, 0.0016865045763552189, 0.02421124093234539, 0.04228539019823074, -0.02775566279888153, 0.04936116561293602, 0.015701046213507652, -0.002737063681706786, 0.011861852370202541, -0.02599024586379528, -0.05665222555398941, 0.02615448459982872, 0.17824918031692505, -0.08202822506427765, -0.013440687209367752, -1.702655971769218e-08, -0.04739726334810257, 0.04530906304717064, 0.03657412528991699, 0.025343451648950577, -0.01825881004333496, 0.057120371609926224, -0.1126723363995552, 0.03303338214755058, 0.05676932632923126, -0.0015630185371264815, -0.046265002340078354, 0.010031450539827347, 0.043038152158260345, -0.010059935040771961, -0.13487789034843445, -0.040137678384780884, 0.1218770295381546, 0.0332956425845623, -0.012871948070824146, 0.036383360624313354, -0.0019641821272671223, 0.0257071852684021, 0.07521062344312668, 0.05361814796924591, 0.046453557908535004, -0.08617191016674042, 0.0020805313251912594, 0.03484848886728287, 0.027643518522381783, -0.015244775451719761, -4.440490738488734e-05, 0.03228016197681427, -0.04470469802618027, 0.04326074197888374, 0.05260399356484413, -0.09824614971876144, 0.09161294251680374, 0.06732954829931259, -0.03844243288040161, 0.005258595105260611, -0.004656161181628704, 0.004183297511190176, -0.0031389135401695967, 0.006810714956372976, -0.07645995169878006, -0.06267203390598297, -0.04828459769487381, -0.007612795103341341, -0.022833572700619698, -0.010054619051516056, 0.03586401417851448, 0.02999490313231945, -0.007632524706423283, 0.05838131532073021, 0.03950183838605881, 0.009688795544207096, 0.04186682775616646, 0.007822174578905106, 0.004155419301241636, 0.000300305662676692, -0.051893893629312515, 0.02621065452694893, 0.025704845786094666, -0.06119241192936897]"
del,Delete one or more files,"[-0.035063933581113815, 0.018507005646824837, -0.021538907662034035, -0.03693215921521187, 0.061504412442445755, -0.035879675298929214, 0.06345807015895844, -0.03357447311282158, 0.1198878064751625, 0.043625589460134506, 0.0797375738620758, 0.10353981703519821, 0.07590772211551666, 0.02063990756869316, -0.0374605655670166, -0.03550262376666069, -0.19550122320652008, 0.03178248926997185, -0.04639468342065811, 0.04288114234805107, -0.006254617590457201, 0.0001488283887738362, 0.011234521865844727, 0.04364963248372078, 0.018092602491378784, -0.006896407343447208, 0.022625209763646126, -0.07801113277673721, -0.09133343398571014, -0.0521978996694088, 0.07074073702096939, 0.016741381958127022, 0.05264780670404434, -0.017433924600481987, 0.11903273314237595, 0.009356078691780567, -0.036980632692575455, -0.06947396695613861, -0.046159934252500534, 0.0022460888139903545, -0.021328262984752655, 0.05179554224014282, -0.03440525010228157, -0.03342057019472122, 0.003425813280045986, 7.422170892823488e-05, -0.0898832157254219, -0.04838339611887932, 0.03794515132904053, -0.029664289206266403, 0.01739519089460373, 0.0195026695728302, -0.08658347278833389, 0.02535243146121502, 0.02351781353354454, -0.10923268646001816, -0.03026997111737728, 0.029471978545188904, -0.04700358957052231, 0.017191918566823006, 0.035788413137197495, -0.020673807710409164, -0.034553807228803635, -0.04680611938238144, 0.10434050858020782, 0.009678589180111885, -0.050298918038606644, -0.003086754120886326, 0.006915042642503977, 0.03476923704147339, -0.08603542298078537, -0.010239142924547195, -0.010273315012454987, 0.10688705742359161, 0.02214488573372364, 0.01793486252427101, 0.058823369443416595, 0.041309308260679245, -0.04805918410420418, -0.014755483716726303, -0.033755283802747726, -0.07303854078054428, 0.06198315694928169, -0.10977058112621307, -0.009222778491675854, 0.02397146262228489, -0.03401936963200569, 0.001114090089686215, 0.008648506365716457, -0.040398482233285904, 0.02191966585814953, 0.05680115520954132, 0.09239977598190308, 0.049601390957832336, -0.021947044879198074, 0.02378884330391884, -0.0005303036887198687, 0.07477626949548721, 0.014236973598599434, 0.06462787836790085, 0.00624677212908864, 0.005842618178576231, 0.02549089305102825, 0.04172195494174957, 0.0018403849098831415, 0.03747791796922684, 0.009086262434720993, 0.0346723310649395, -0.02532413974404335, -0.07146356254816055, -0.07261743396520615, -0.09247276186943054, -0.06536352634429932, 0.02693500928580761, 0.0228080153465271, 0.04762184992432594, 0.03745732828974724, 0.12113729119300842, -0.01007155328989029, 0.05232814699411392, 0.014970286749303341, -0.09805242717266083, -0.00043131792335771024, -0.016110429540276527, -0.05955314636230469, -0.06873135268688202, 0.017725881189107895, 1.0508476849259769e-33, 0.026466526091098785, -0.08166994154453278, -0.0554770827293396, 0.08770395815372467, 0.11832283437252045, 0.022725800052285194, 0.022186551243066788, 0.056385159492492676, -0.02359570562839508, 0.0258946493268013, 0.022263217717409134, 0.006074116565287113, -0.005674763582646847, -0.004704369232058525, 0.045699592679739, -0.02565462328493595, -0.002342450665310025, 0.004969594534486532, -0.04354533553123474, -0.08702653646469116, 0.064560167491436, -0.03399481996893883, -0.050415027886629105, 0.023491181433200836, 0.02788281813263893, -0.011572454124689102, 0.09702768176794052, -0.0181089136749506, -0.0367254875600338, -0.023462971672415733, 0.052897971123456955, 0.0098210908472538, -0.07617741823196411, 0.04381851851940155, 0.012657836079597473, 0.1004139706492424, -0.05001281946897507, -0.019347606226801872, 0.00786103866994381, 0.021763557568192482, 0.005381059367209673, -0.007465469650924206, -0.04198300838470459, 0.02798687294125557, 0.045590851455926895, 0.030770115554332733, 0.03705201297998428, 0.015948403626680374, -0.09337536990642548, 0.029851572588086128, 0.04417463019490242, 0.03280327096581459, -0.018052872270345688, 0.004189327359199524, -0.006504450924694538, 0.02348320744931698, -0.009995651431381702, -0.04660965874791145, 0.03400301933288574, -0.052624285221099854, 0.10430198162794113, -0.014608084224164486, -0.024270353838801384, -0.03437351807951927, 0.005501075182110071, -0.008027231320738792, 0.0679335668683052, 0.025279777124524117, 0.07235437631607056, -0.024097740650177002, -0.04308556765317917, -0.004046535585075617, 0.06359882652759552, -0.12554095685482025, 0.014902881346642971, -0.015605336986482143, 0.00806585792452097, -0.010666641406714916, -0.06513333320617676, 0.012498960830271244, -0.036734774708747864, 0.0032845400273799896, 0.013455916196107864, 0.01617845520377159, 0.04431480914354324, -0.01486932672560215, -0.030777227133512497, -0.009686422534286976, 0.06282691657543182, 0.016532985493540764, -0.04056978225708008, 0.055525388568639755, -0.04089221730828285, -0.09812066704034805, -0.005882312543690205, -4.200015601549109e-34, 0.012156061828136444, 0.009295064955949783, -0.03573508933186531, -0.04324078559875488, -0.032414961606264114, 0.018859516829252243, 0.01109217293560505, 0.007737636100500822, -0.006753751542419195, -0.012132582254707813, -0.00929130706936121, 0.0032880513463169336, 0.05685831978917122, -0.07030832022428513, -0.0032106125727295876, -0.007344381883740425, 0.04463041201233864, -0.08248928189277649, -0.10148916393518448, -0.009686055593192577, -0.07473108172416687, 0.01683225855231285, 0.0740843117237091, 0.06917518377304077, -0.07297103106975555, -0.01669331267476082, -0.0571366511285305, 0.03327054902911186, -0.011266780085861683, 0.083205446600914, 0.04296397417783737, 0.05856410786509514, 0.0305531807243824, -0.03758421912789345, 0.1281985193490982, -0.08745060861110687, 0.03333035111427307, 0.06944292783737183, 0.04339895769953728, 0.05877339467406273, -0.024003364145755768, -0.027109483256936073, 0.04993120953440666, -0.04016517102718353, -0.051960792392492294, -0.028401518240571022, -0.01291875820606947, 0.03499578312039375, -0.014340205118060112, 0.036272939294576645, 0.010513176210224628, -0.06924028694629669, -0.06981896609067917, -0.08139198273420334, 0.006928395479917526, 0.022663632407784462, 0.07748904824256897, -0.027290809899568558, 0.037127215415239334, -0.0410909503698349, 0.0284638162702322, 0.06300558894872665, -0.05030534788966179, 0.04735975340008736, -0.040678076446056366, -0.03859425336122513, 0.006000555120408535, -0.019763978198170662, -0.038385722786188126, 0.0158992949873209, -0.03165294975042343, 0.10156276822090149, 0.03515889123082161, 0.00805363804101944, -0.018037090077996254, -0.02679121121764183, 0.024875182658433914, -0.05368757247924805, 0.011299082078039646, 0.01050569862127304, 0.03204537555575371, 0.002150857588276267, -0.03516944497823715, 0.012439606711268425, -0.047390080988407135, 0.03683074936270714, -0.062391843646764755, -0.043330997228622437, -4.9800546548794955e-05, 0.021969782188534737, 0.004308035131543875, -0.043877776712179184, 0.18027886748313904, -0.027065936475992203, -0.0005852128961123526, -1.6532178293005018e-08, 0.011717462912201881, -0.005933011416345835, 0.03278959169983864, -0.02118859626352787, 0.0002294215519214049, -0.011477307416498661, -0.10327550768852234, 0.18082298338413239, 0.00649096816778183, -0.04185796529054642, 0.14170770347118378, -0.00593172712251544, -0.07859397679567337, -0.02241368591785431, -0.01633978821337223, -0.1156722828745842, 0.06892849504947662, -0.061725687235593796, 0.0030552386306226254, 0.03247559815645218, 0.03172453120350838, 0.007401677314192057, 0.023202504962682724, 0.019234083592891693, 0.07917206734418869, -0.013036880642175674, 0.07403001189231873, 0.0969831719994545, -0.018378598615527153, 0.007385375443845987, 0.023652229458093643, -0.03502225503325462, 0.053925443440675735, 0.011519287712872028, 0.04933583736419678, -0.007765271235257387, 0.017160149291157722, 0.05802895128726959, -0.08794631063938141, 0.03390142694115639, -0.02368674799799919, 0.02366064488887787, 0.019766956567764282, 0.015890609472990036, -0.03245532140135765, -0.0986359640955925, -0.03175192326307297, -0.07951775938272476, -0.0283140130341053, 0.011090321466326714, -0.05560017004609108, 0.04387858882546425, -0.04734951630234718, 0.14387600123882294, -0.04441173002123833, 0.0012729886220768094, 0.0853179469704628, -0.005976482294499874, -0.048223335295915604, -0.005332465749233961, 0.05678722634911537, 0.022102581337094307, 0.024336183443665504, -0.07575369626283646]"
